시도,구군,평균
강원도,춘천시,0.5158
강원도,원주시,0.3926
강원도,강릉시,0.336
강원도,동해시,0.345
강원도,태백시,0.269
강원도,속초시,0.4349
강원도,삼척시,0.4336
강원도,홍천군,0.3439
강원도,횡성군,0.2338
강원도,영월군,0.2006
강원도,평창군,0.204
강원도,정선군,0.2109
강원도,철원군,0.4098
강원도,화천군,0.3897
강원도,양구군,0.4396
강원도,인제군,0.2707
강원도,고성군,0.2236
강원도,양양군,0.2776
