시도,구군,평균
대구광역시,중구,1.0
대구광역시,동구,0.3681
대구광역시,서구,0.2596
대구광역시,남구,0.8312
대구광역시,북구,0.2541
대구광역시,수성구,0.4321
대구광역시,달서구,0.3122
대구광역시,달성군,0.4013
